Date,Flow,PRCP,SNOW,TMAX,TMIN
1900-01-01,24000.0,0.0,,23.0,3.0
1900-01-02,24000.0,0.0,,29.0,12.0
1900-01-03,24000.0,0.0,,30.0,3.0
1900-01-04,24000.0,0.0,,44.0,23.0
1900-01-05,24000.0,0.0,,44.0,23.0
1900-01-06,24000.0,0.0,,42.0,21.0
1900-01-07,24000.0,0.07,,48.0,28.0
1900-01-08,24000.0,0.0,,42.0,19.0
1900-01-09,24000.0,0.13,,40.0,30.0
1900-01-10,24000.0,0.0,,41.0,29.0
1900-01-11,24000.0,0.0,,33.0,21.0
1900-01-12,24000.0,0.11,1.3,35.0,29.0
1900-01-13,24000.0,0.0,,35.0,29.0
1900-01-14,24000.0,0.0,,39.0,27.0
1900-01-15,24000.0,0.0,,39.0,32.0
1900-01-16,25000.0,0.0,,35.0,30.0
1900-01-17,26000.0,0.0,,35.0,30.0
1900-01-18,27000.0,1.0,,35.0,31.0
1900-01-19,27000.0,0.0,,37.0,27.0
1900-01-20,28000.0,0.0,,45.0,26.0
1900-01-21,29000.0,0.0,,43.0,21.0
1900-01-22,29000.0,0.0,,49.0,22.0
1900-01-23,30000.0,0.0,,46.0,28.0
1900-01-24,30000.0,0.0,,51.0,29.0
1900-01-25,29000.0,0.0,,36.0,8.0
1900-01-26,25000.0,0.0,,20.0,3.0
1900-01-27,20000.0,0.0,,31.0,8.0
1900-01-28,17000.0,0.0,,13.0,-7.0
1900-01-29,14000.0,0.0,,29.0,-2.0
1900-01-30,14000.0,0.0,,28.0,-3.0
1900-01-31,14000.0,0.0,,5.0,-8.0
1900-02-01,14000.0,0.0,0.0,18.0,-6.0
1900-02-02,14000.0,0.0,0.0,22.0,2.0
1900-02-03,15000.0,0.0,0.0,38.0,13.0
1900-02-04,16000.0,0.46,1.0,31.0,12.0
1900-02-05,17000.0,0.04,0.5,33.0,17.0
1900-02-06,19000.0,0.0,0.0,34.0,20.0
1900-02-07,20000.0,0.0,0.0,49.0,32.0
1900-02-08,21000.0,0.92,0.0,48.0,5.0
1900-02-09,22000.0,0.05,0.5,15.0,-2.0
1900-02-10,24000.0,0.0,0.0,37.0,6.0
1900-02-11,25000.0,0.0,0.0,47.0,26.0
1900-02-12,26000.0,0.12,1.0,40.0,25.0
1900-02-13,26000.0,0.0,0.0,27.0,4.0
1900-02-14,26000.0,0.2,2.5,14.0,6.0
1900-02-15,26000.0,0.0,0.0,10.0,-7.0
1900-02-16,26000.0,0.0,0.0,9.0,-10.0
1900-02-17,25000.0,0.0,0.0,15.0,-10.0
1900-02-18,24000.0,0.0,0.0,18.0,-5.0
1900-02-19,24000.0,0.0,0.0,26.0,2.0
1900-02-20,24000.0,0.0,0.0,39.0,14.0
1900-02-21,23000.0,0.7,6.0,32.0,25.0
1900-02-22,23000.0,0.0,0.0,35.0,7.0
1900-02-23,23000.0,0.0,0.0,39.0,10.0
1900-02-24,23000.0,0.0,0.0,12.0,-9.0
1900-02-25,23000.0,0.0,0.0,13.0,-9.0
1900-02-26,22000.0,0.0,0.0,15.0,1.0
1900-02-27,22000.0,0.0,0.0,29.0,0.0
1900-02-28,21000.0,0.29,3.0,27.0,19.0
1900-03-01,20000.0,,0.0,31.0,7.0
1900-03-02,20000.0,0.0,0.0,35.0,22.0
1900-03-03,20000.0,0.0,0.0,38.0,4.0
1900-03-04,20000.0,0.0,0.0,36.0,16.0
1900-03-05,20000.0,0.0,0.0,31.0,15.0
1900-03-06,20000.0,0.0,0.0,32.0,17.0
1900-03-07,20000.0,1.16,6.0,33.0,7.0
1900-03-08,20000.0,0.0,0.0,43.0,15.0
1900-03-09,21000.0,0.0,0.0,41.0,29.0
1900-03-10,23000.0,0.0,0.0,47.0,24.0
1900-03-11,27000.0,0.0,0.0,49.0,26.0
1900-03-12,35000.0,0.0,0.0,43.0,26.0
1900-03-13,50000.0,0.0,0.0,42.0,30.0
1900-03-14,67000.0,0.0,0.0,31.0,19.0
1900-03-15,72000.0,,0.0,22.0,10.0
1900-03-16,72000.0,0.05,0.5,13.0,1.0
1900-03-17,71000.0,,0.0,32.0,0.0
1900-03-18,69000.0,0.0,0.0,50.0,21.0
1900-03-19,65000.0,,0.0,41.0,26.0
1900-03-20,60000.0,0.0,0.0,31.0,12.0
1900-03-21,55000.0,0.0,0.0,40.0,10.0
1900-03-22,48000.0,0.0,0.0,60.0,32.0
1900-03-23,39000.0,0.0,0.0,52.0,27.0
1900-03-24,36000.0,0.23,0.0,49.0,26.0
1900-03-25,35000.0,0.0,0.0,35.0,31.0
1900-03-26,35000.0,0.0,0.0,39.0,30.0
1900-03-27,36000.0,0.0,0.0,39.0,27.0
1900-03-28,37500.0,1.59,7.0,35.0,27.0
1900-03-29,38600.0,0.0,0.0,35.0,30.0
1900-03-30,43000.0,0.21,2.0,43.0,30.0
1900-03-31,46300.0,0.0,0.0,43.0,20.0
1900-04-01,58800.0,0.09,0.0,,26.0
1900-04-02,76100.0,0.0,0.0,,30.0
1900-04-03,85600.0,0.02,0.0,57.0,29.0
1900-04-04,87200.0,0.0,0.0,49.0,26.0
1900-04-05,84000.0,0.0,0.0,63.0,24.0
1900-04-06,77600.0,0.0,0.0,73.0,30.0
1900-04-07,73100.0,0.0,0.0,,33.0
1900-04-08,71600.0,0.0,0.0,60.0,43.0
1900-04-09,70100.0,0.01,0.0,51.0,31.0
1900-04-10,68600.0,0.0,0.0,45.0,26.0
1900-04-11,67100.0,0.2,2.0,35.0,28.0
1900-04-12,65700.0,0.0,0.0,38.0,25.0
