,Date,Flow,PRCP,SNOW,TMAX,TMIN
0,1900-01-01,33400.0,0.0,0.0,19,12.0
1,1900-01-02,25800.0,0.0,0.0,29,12.0
2,1900-01-03,28000.0,0.0,0.0,37,18.0
3,1900-01-04,34000.0,0.0,0.0,44,30.0
4,1900-01-05,40600.0,0.21,0.0,44,40.0
5,1900-01-06,47800.0,0.02,0.0,52,39.0
6,1900-01-07,49100.0,0.0,0.0,56,45.0
7,1900-01-08,54400.0,0.0,0.0,46,34.0
8,1900-01-09,55100.0,0.0,0.0,62,38.0
9,1900-01-10,59300.0,0.06,0.0,52,34.0
10,1900-01-11,62400.0,0.01,0.0,36,30.0
11,1900-01-12,60800.0,0.0,0.0,46,31.0
12,1900-01-13,60000.0,0.0,0.0,55,36.0
13,1900-01-14,59300.0,0.0,0.0,56,47.0
14,1900-01-15,59300.0,0.0,0.0,64,44.0
15,1900-01-16,58600.0,0.06,0.0,49,39.0
16,1900-01-17,58600.0,0.28,0.0,54,39.0
17,1900-01-18,61600.0,0.01,0.0,41,35.0
18,1900-01-19,70700.0,0.0,0.0,40,35.0
19,1900-01-20,97000.0,0.0,0.0,50,36.0
20,1900-01-21,104000.0,0.0,0.0,49,38.0
21,1900-01-22,96000.0,0.0,0.0,53,36.0
22,1900-01-23,88000.0,0.0,0.0,59,41.0
23,1900-01-24,84200.0,0.0,0.0,66,47.0
24,1900-01-25,84200.0,0.0,0.0,49,21.0
25,1900-01-26,84200.0,0.0,0.0,29,16.0
26,1900-01-27,82400.0,0.0,0.0,47,24.0
27,1900-01-28,82400.0,0.0,0.0,32,9.0
28,1900-01-29,76100.0,0.0,0.0,29,7.0
29,1900-01-30,68900.0,0.0,0.0,31,11.0
30,1900-01-31,60800.0,0.0,0.0,14,4.0
31,1900-02-01,50400.0,0.0,0.0,30,6.0
32,1900-02-02,45800.0,0.0,0.0,35,24.0
33,1900-02-03,41300.0,0.0,0.0,50,28.0
34,1900-02-04,39400.0,0.25,1.0,50,28.0
35,1900-02-05,40600.0,0.05,0.0,41,25.0
36,1900-02-06,43900.0,0.0,0.0,46,36.0
37,1900-02-07,48400.0,0.6,0.0,60,46.0
38,1900-02-08,61600.0,1.32,0.0,65,16.0
39,1900-02-09,86000.0,0.0,0.0,29,12.0
40,1900-02-10,101000.0,0.0,0.0,44,26.0
41,1900-02-11,100000.0,0.0,0.0,53,31.0
42,1900-02-12,95000.0,0.04,0.0,46,35.0
43,1900-02-13,96000.0,0.0,0.0,35,17.0
44,1900-02-14,89000.0,0.0,0.0,37,24.0
45,1900-02-15,88000.0,0.0,0.0,29,10.0
46,1900-02-16,87000.0,0.08,1.0,15,4.0
47,1900-02-17,89000.0,0.0,0.0,14,1.0
48,1900-02-18,82400.0,0.0,0.0,32,11.0
49,1900-02-19,77000.0,0.0,0.0,40,24.0
50,1900-02-20,79700.0,0.08,0.0,48,34.0
51,1900-02-21,87000.0,0.56,0.0,45,31.0
52,1900-02-22,104000.0,0.05,0.1,41,29.0
53,1900-02-23,112000.0,0.28,0.0,56,24.0
54,1900-02-24,123000.0,0.06,0.8,24,8.0
55,1900-02-25,118000.0,0.0,0.0,20,6.0
56,1900-02-26,107000.0,0.01,0.1,24,15.0
57,1900-02-27,101000.0,0.36,3.5,30,21.0
58,1900-02-28,94000.0,1.35,2.8,31,24.0
59,1900-03-01,92000.0,0.02,0.2,33,26.0
60,1900-03-02,90000.0,0.0,0.0,34,27.0
61,1900-03-03,84200.0,0.0,0.0,40,29.0
62,1900-03-04,82400.0,0.0,0.0,52,35.0
63,1900-03-05,84200.0,0.69,0.0,58,34.0
64,1900-03-06,108000.0,0.45,0.0,60,28.0
65,1900-03-07,200000.0,0.0,0.0,39,27.0
66,1900-03-08,238000.0,0.0,0.0,53,31.0
67,1900-03-09,242000.0,0.0,0.0,56,40.0
68,1900-03-10,257000.0,0.0,0.0,68,35.0
69,1900-03-11,298000.0,0.0,0.0,77,46.0
70,1900-03-12,307000.0,0.0,0.0,60,34.0
71,1900-03-13,339000.0,0.0,0.0,56,43.0
72,1900-03-14,356000.0,0.0,0.0,44,32.0
73,1900-03-15,364000.0,0.02,0.3,33,21.0
74,1900-03-16,366000.0,0.0,0.0,23,11.0
75,1900-03-17,356000.0,0.0,0.0,48,10.0
